category	headline	text
business	FMI elobi kokitisa budget ezali malamu	"FMI (Fonds monétaire international) etalisi kobanga na yango lolenge bosaleli budget ya RDC ezali kokende mpe ekanisi ete ekozala malamu kokitisa budget. ""Lolenge budget esalelami kino kati kati ya sanza ya février ezali kopesa bobangi likolo ya bozito etiyami likolo ya ba dépenses mpe mpo na faible perfomance ya ba recettes,"" ekomi na liyebisi motalisi elongi ya FMI na RDC. Bozito yango ""bomemi bodefi mbongo na banque centrale mpe libulu kati ya ba réserves internationales ya BCC (Banque centrale ya Congo),"" eyebisi lipinga ya FMI. FMI esengi bakonzi ya RDC kotika kodefa misolo na BCC mpe kozongisa miye mizwamaki. Mpo na FMI, plan ya trésorerie ministre oyo Finances abimisaki na février ezali réaliste (malamu). Plan yango elobaki mosolo mokoti moke mpe esengeli l’Etat esalela kaka 5,45 milliards $. Kolanda mobeko ya finances ya 2020, budget ezali ya 10,59 milliards $ mpo na population ya pene na 80 millions ya bato, 2/3 babikaka na pene na dollars mibale na mokolo."
business	Bayi petololo balaki kotelemisa boteki wuto jeudi na Kasaï mpe Katanga ya kala	"Ba sociétés ya pétrole ya bituka ya kala ya Katanga mpe Kasaï balaki kotelemisa boteki mpe bokaboli bwa petololo na bango wuto jeudi le 6 août 2020 mpo na kosenga bomati bwa ntalo na pompe. Lingomba ya bayi petrole kati na FEC (Fédération des entreprises du Congo) lizali kosenga ete ntalo ya petrole elanda ndenge makambo manso mazali komata na mboka mpe na molongo. Bakomelaki ministre ya Economie le 30 juillet 2020 mpe balobaki ete bazali na nkwokoso nzambi na bokweyisami ya maye manso makotaka na ntalo ya petololo. Basengi na mbulamatari komatisa ntalo. ""Kino sika, lokola tozwi structure ya ntalo ya sika te, lobiko etikali mpo na entreprises epesaka petolo na maye manso masalami na yango na etando ya sud, kaka kotelemisa boteki mpe bopesi produits pétroliers wuto mokolo mwa jeudi 6 aouut 2020,"" ekomi bango na mokanda mwango. Mpo na ba compagnies baye, ntalo ya petololo ya nse ezali kozangisa bango misolo mingi. Le 7 mai 2020, nsima na koyokana na bayi petololo, mbulamatari esilaki kokitisa ntalo ya litre ya essence wuto 1760FC kino 1390FC, ya gasoil wuto 1750 FC kino 1450 FC mpe ya Jet A1 wuto 2168,01 FC kino 1647,93 FC. Ministère ya Economie elobaki bokitisami bwa 12% bwango bozalaki mpo na mbano mabe ya COVID19 na makambo manso mpe na mokili mobimba."
business	Matungulu akambi BAD na masolo na PM Ilunga mpo na kosunga mbulamatari	"Freddy Matungu, mokambi ya sika ya BAD (Banque africaine de développement), alaki lisusu lisungi ya mosala na ye na mbulamatri ya RDC. Ezalaki nsima na masolo ya mikolo mibale na batambwisi ya ekolo eye. M. Matungulu akambi lipinga ya BAD liye lisololi na mbulatari ya ekolo Congo démocratique wuta suka ya mposo moleki. ""Tozali kokende nsima na koyeba malamu makombo ya litomba maye mbulamatari alingi kosala,"" eyebisi M. Matungula na bapanzi sango. Alobi ete mobembo na ye na lipinga ya BAD elakisi lolenge BAD ezali kosepela makasi kosunga RDC. Kasi alimboli ete BAD esengi mbongwana mbulamatari kosala mbongwana mpo etali politique économique mpe sociale. Abeti sete ete BAD ezali kopesa litomba ya liboso na énergie (lotiliki), bileyi ya bato (milona, industries), intégration régionale, social, éducation mpe santé (bokolongono). BAD nde ekopesa misolo mpo na botongi na gbabga ya engunduka mpe mituka kati na Brazzaville mpe Kinshasa, bingumba mingama. Misala ya botongi yango mikobanda na juillet 2020. Kasi RDC, elingi yambo kotonga lipongo ya Banana. M. Matungulu azalaki moko ya bayi Lamuka (lingomba ya oppostion). Nkombo na ye epesamaki na président Félix Tshisekedi na juillet mpo na kokamba BAD."
business	Trump asakoli bozongisi ya RDC na AGOA	Président Donald asakoli bozongisami ya RDC na AGOA, mabongisami mapesaka nzela na bikolo bya Afrika kosala mombongo na Amerika, elobi ntoma ya USA na Kinshasa Mike Hammer. Wuta Amerika epayi wapi azali na loyi, ntoma Mike Hammer asakoli ete Maison Blanche, ndako ya mosala ya mokonzi ya mboka ya Etats-Unis. Sango ya malamu mpeza! Mpo na makasi ya président Tshisekedi mpe bo’ elombo ya bondeko na biso (partenariat privilégié pour la paix et la prospérité, na yoki na Maison Blanche ete endimami mpo na kozonga na AGOA. Yango ekofungola mabaku ya nkita mingi, ekomi na Twitter M. Hammer. Mokeno moye motalisi makasi RDC esali mpo na kotosa malako makasi masengi na Congrès ya Etats-Unis. Etali mpe makasi président Félix Tshisekedi asali na ntina ya komema mbongwana na misala mya bokambi mboka, kobatela makoki ma bomoto mpe kobundisa kaniaka, elobi ambassade ya Etats-Unis na Kinshasa, Mike Hammer akomi compte Twitter na ye ete yango etalisi misala mizali kosalama na nzela ya boyokani Etats-Unis ezali na yango wuta président Felix Tshisekedi akota na bokonzi.  
business	Banque mondiale elaki Tshisekedi kofungola ba bureaux na Goma na Kananga mpe kobakisa misolo	"Mokambi ya Banque mondiale (BM) David Malpass alaki président Félix Tshisekedi kosunga ye na bokambi na ye. Ezalaki na bokutani na bango lundi na Washington. M. David Malpass asololaki o’mokolo ya yambo ya mposo na M. Tshisekedi elongo na bakambi ya bituka ya Kasaï central, ya Nord-Kivu, ya Sud-Kivu mpe ya Itrui na bureau ya Banque mondiale, na Washington. ""BM ezali kosala procédure ya sika. Ezali kokomisa makambo mwa pete. Ekofungola ba bureaux kati na mboka. Bureau moko na Goma mpo na bituka ya est ya RDC. Bureau mosusu na Kananga mpo na bituka ya katikati ya mboka,"" eyebisi na VOA Lingala Jean Bamanisa, mokambi ya Ituri. Bakambi ya bituka na M. Tshisekedi bapesaki na BM makanisi na bango kolonda linaka ya lisalisi ya litomba (Programmes d’actions prioritaires). Basengaki BM kosunga mpo na bozongisi bokonzi ya l’Etat na mboka yango ekosenga kobongisa misala ya bosembo, ba équipements mpe administration mpe mpo na komatisa nkita, banzela. ""Esengeli BM ematisa mbala mibale lisungi lya yango. Kino sika oyo tozalaki na 500 to 600 millions ya ba dollars ya lisungi mobu na mobu, kasi esengeli emata,"" elobi Bamanisa. M. Tshisekedi alongwaki Washington lundi na mpokwa mpo na kozonga Kinshasa nsima na mposo moko ya mobembo na Etats-Unis esika ayaki mpo na 74e Assemblée générale ya Nations unies. Awutaki na mobembo mosusu na Bruxelles."
health	Pasteur azuwamaki na Ebola na Goma akufi	"Moto ya yambo moye azuwami na Ebola na Goma o’mokolo ya eyenga akufi na nzela ya bomemami na ye na Butembo, kolanda bakambi ya misala ya bokolongono. ""Nayebisi bino ete mokoni wana akufi na nzela ya Butembo, "" asakoli mokambi ya etuka ya Nord-Kivu, Carly Nzanzu. Moto azalaki Pasteur ya etonga moko na Sud-Kivu, akendeki na bokutani (convention) ya Butembo, esika wapi asambelaki mpe atiyelaki maboko na babeli o’mokolo yay a minei moleki. Amonisaki bilembo ya Ebola na nzela ya bozongi na ye, na Goma, esika wapi alukaki lisungi nsima na moto mpasi mpe fevele. Bomonani ya mobeli moye ya yambo na Goma bomemaki bobangi na engumba eye mpe bisika mingi. OMS, Misala ya molongo ya bokolongono, elobi ete yango ezali kokebisa bato banso. ""Ezali bokebisi pamba te ntango nyonso mokoni alongwe esika moko akoki komema bokono bisika akeyi, "" elobaki lobi loleki, mokambi ya makambo ya makama ya OMS, Mike Ryan."
health	Ebola ebomi koleka bato 400	"Bakonzi ya mambi ya bokolongono bayebisi ete koleka bato 400 basili kowa na épidémie ya Ebola liye lizali kongala na est too na monyele ya RDC. ""Wuta ebandeli ya épidémie liye, motango ezali 658 (ya baye basimbami na bokono liye), kati na bango 609 confirmés mpe 49 oyo bakoki kozala na bokono. Na nyonso, ezali na bato 402 babawei,"" na bituka ya Nord-Kivu mpe ya Ituri, ekomi ministère ya bokolongono na liyebisi ya mokolo ya mibale.  Bakonzi ya bokolongono balobi bato 237 babikisami, kasi bato 200 bazali kotalama. Epidémie liye ezali ya monene koleka na RDC. Ebandaki na sanza ya mwambe ya 2018. Bato 60.460 bazuwi mangwele."
health	Moto wa yambo na COVID19 : Lubumbashi na Kasumbalesa ekongama	"Bingumba ya Lubumbashi mpe ya Kasumbalesa bikokangama mpo na mokolo moko, elobi mokambi ya etuka ya Haut-Katanga, Jacques Kyabula nsima na bozwami ya moto ya yambo na coronavirus ya sika. ""Mpo na kopesa biso nzela ya kozwa na lombango ba contacts misusu ya ba contacts, bokangami ya 24 h banda mardi 28 avril na Lubumbashi mpe mercredi 29 avril na Kasumbalesa,"" elobi M. Ktyabula. Kino sika bato 21 nde bazwami mpe bakonzi bazali koluka basusu. Moto oyo azwami na COVID19 azali mobali ya mibu tuku mitano na mwambe awutaki na Nairobi mpe alekaki na Zambie na nzela ya Kasumbalesa, elobi bakonzi ya etuka."
health	Bakoni ya COVID-19 bakomi 18	"Bato banei basusu  ya bokono ya coronavirus ya sika bazwami, eyebisi ministre ya bokolongono Dr. Eteni Longondo na compte Twitter na ye. ""IRNB epesaki bilembo na bango lobi na butu. Bazali bango banso ba Congolais, moko awutaki France, emonani lokola azwaki bokono nde kuna. Basato basusu vazwi bokono bwango na ekolo Congo démocratique. Motango ya bakoni bayebani na coronavirus ya sika mokomi zomi na mwambe,"" ekomi Dr. Longondo. Uta lelo nde mpepo inso mpe masuwa manso makowuta bikolo bisika COVID19 ezali kongala makokita to makokota lisusu te na mabela ya ekolo Congo décomcratique lokola mokonzi ya mboka Félix Tshisekedi asakolaki yango mikolo mibale mileki. Mikano mya lolenge moko mpe mibandi kotiyama na misla mpe na ngambo ya Congo-Brazzaville."
health	Mutombo Dikembe azali kobunda na tumeur ya bongo kasi apesami lisalisi	"Mosani ya kala ya basketball, molakisi elongi ya NBA (Ligue ya basketball ya Amerika na mokili) Dikembe Mutombo Mpolondo Mukamba Jean-Jacques Wamutombo, azali kobunda na tumeur ya bongo mpe kozwa lisalisi na Atlanta, na Etats-Unis, esakoli NBA na liyebisi o’mokolo mwa mposo. ""Mutombo Dikembe azali sika kozwa lisalisi mpo na tumeur ya bongo,"" elobi liyebisi litiami na compte Twitter ya NBA. Tumeur ezali livimbi ya esika yoko na nzoto. Kolanda liyebisi lyango, Dikembers lokola abengamaka “azali kopesama lisalisi lya malamu koleka mpenza na boyokani ya minganga baye bayebi mpenza mosala malamu"". ""Dikembe na libota lya ye basengi batikamaka kimya sika mpo ete balendela na bokebi lisalisi liye. Batondi bino mpo na losambo mpe maloba malamu"", ebakisi liyebisi. Na mibu ntuku mitano na motoba (56), Dikembe azali moko na ba défenseur to babateli baye batika mpenza sango na NBA. Abeta koleka mibu to saison 18 na NBA na ba équipes lokola Denver Nuggets, Philadelphia 76rs, Atlanta Hawks mpe New Jersey Nets. Dikembe Mutmbo atikaka kobeta bo’ professionnel na 2009 kasi ayebana mingi mpe mpo na misala mya kosunga asala na mboka na ye, RDC (Ekolo Cogno démocratique) mpe bisika misusu na Afrika mpe na mokili. Atonga lopitalo lonene na Kinshasa na nkombo ya mama wa ye, Mama Biamba Mutombo Dikembe. Awuti mpe kotonga na Kasaï eteyelo ya sika na nkombo ya tata wa ye oyo azalaki molakisi."
